Country,Official Name,Region,Subregion,Capital,Population,Area (km²),Currencies,Languages,Timezones,Independent
Guatemala,Republic of Guatemala,Americas,Central America,Guatemala City,18079810,108889.0,Guatemalan quetzal (GTQ),Spanish,UTC-06:00,True
Cambodia,Kingdom of Cambodia,Asia,South-Eastern Asia,Phnom Penh,17577760,181035.0,"Cambodian riel (KHR), United States dollar (USD)",Khmer,UTC+07:00,True
Zimbabwe,Republic of Zimbabwe,Africa,Southern Africa,Harare,17073087,390757.0,Zimbabwean dollar (ZWL),"Chewa, Chibarwe, English, Kalanga, Khoisan, Ndau, Northern Ndebele, Shona, Sotho, Tonga, Tsonga, Tswana, Venda, Xhosa, Zimbabwean Sign Language",UTC+02:00,True
South Sudan,Republic of South Sudan,Africa,Middle Africa,Juba,15786898,619745.0,South Sudanese pound (SSP),English,UTC+03:00,True
Guinea,Republic of Guinea,Africa,Western Africa,Conakry,14363931,245857.0,Guinean franc (GNF),French,UTC,True
Rwanda,Republic of Rwanda,Africa,Eastern Africa,Kigali,14104969,26338.0,Rwandan franc (RWF),"English, French, Kinyarwanda",UTC+02:00,True
Benin,Republic of Benin,Africa,Western Africa,Porto-Novo,13224860,112622.0,West African CFA franc (XOF),French,UTC+01:00,True
Burundi,Republic of Burundi,Africa,Eastern Africa,Gitega,12332788,27834.0,Burundian franc (BIF),"French, Kirundi",UTC+02:00,True
Tunisia,Tunisian Republic,Africa,Northern Africa,Tunis,11972169,163610.0,Tunisian dinar (TND),Arabic,UTC+01:00,True
Haiti,Republic of Haiti,Americas,Caribbean,Port-au-Prince,11867032,27750.0,Haitian gourde (HTG),"French, Haitian Creole",UTC-05:00,True
Belgium,Kingdom of Belgium,Europe,Western Europe,Brussels,11825551,30528.0,euro (EUR),"Dutch, French, German",UTC+01:00,True
Papua New Guinea,Independent State of Papua New Guinea,Oceania,Melanesia,Port Moresby,11781559,462840.0,Papua New Guinean kina (PGK),"English, Hiri Motu, Tok Pisin",UTC+10:00,True
Jordan,Hashemite Kingdom of Jordan,Asia,Western Asia,Amman,11734000,89342.0,Jordanian dinar (JOD),Arabic,UTC+03:00,True
Bolivia,Plurinational State of Bolivia,Americas,South America,Sucre,11365333,1098581.0,Bolivian boliviano (BOB),"Aymara, Guaraní, Quechua, Spanish",UTC-04:00,True
United Arab Emirates,United Arab Emirates,Asia,Western Asia,Abu Dhabi,11294243,83600.0,United Arab Emirates dirham (AED),Arabic,UTC+04:00,True
Czechia,Czech Republic,Europe,Central Europe,Prague,10882341,78865.0,Czech koruna (CZK),"Czech, Slovak",UTC+01:00,True
Dominican Republic,Dominican Republic,Americas,Caribbean,Santo Domingo,10771504,48671.0,Dominican peso (DOP),Spanish,UTC-04:00,True
Portugal,Portuguese Republic,Europe,Southern Europe,Lisbon,10749635,92090.0,euro (EUR),Portuguese,"UTC-01:00, UTC",True
Sweden,Kingdom of Sweden,Europe,Northern Europe,Stockholm,10605098,450295.0,Swedish krona (SEK),Swedish,UTC+01:00,True
Tajikistan,Republic of Tajikistan,Asia,Central Asia,Dushanbe,10499000,143100.0,Tajikistani somoni (TJS),"Russian, Tajik",UTC+05:00,True
Greece,Hellenic Republic,Europe,Southern Europe,Athens,10400720,131990.0,euro (EUR),Greek,UTC+02:00,True
Azerbaijan,Republic of Azerbaijan,Asia,Western Asia,Baku,10241722,86600.0,Azerbaijani manat (AZN),Azerbaijani,UTC+04:00,True
Israel,State of Israel,Asia,Western Asia,Jerusalem,10134800,21937.0,Israeli new shekel (ILS),"Arabic, Hebrew",UTC+02:00,True
Honduras,Republic of Honduras,Americas,Central America,Tegucigalpa,9892632,112492.0,Honduran lempira (HNL),Spanish,UTC-06:00,True
Cuba,Republic of Cuba,Americas,Caribbean,Havana,9748007,109884.0,"Cuban convertible peso (CUC), Cuban peso (CUP)",Spanish,UTC-05:00,True
Hungary,Hungary,Europe,Central Europe,Budapest,9539502,93028.0,Hungarian forint (HUF),Hungarian,UTC+01:00,True
Austria,Republic of Austria,Europe,Central Europe,Vienna,9200931,83871.0,euro (EUR),German,UTC+01:00,True
Belarus,Republic of Belarus,Europe,Eastern Europe,Minsk,9109280,207600.0,Belarusian ruble (BYN),"Belarusian, Russian",UTC+03:00,True
Switzerland,Swiss Confederation,Europe,Western Europe,Bern,9082848,41284.0,Swiss franc (CHF),"French, Italian, Romansh, Swiss German",UTC+01:00,True
Sierra Leone,Republic of Sierra Leone,Africa,Western Africa,Freetown,9077691,71740.0,Leone (SLE),English,UTC,True
Togo,Togolese Republic,Africa,Western Africa,Lomé,8095498,56785.0,West African CFA franc (XOF),French,UTC,True
Laos,Lao People's Democratic Republic,Asia,South-Eastern Asia,Vientiane,7647000,236800.0,Lao kip (LAK),Lao,UTC+07:00,True
Hong Kong,Hong Kong Special Administrative Region of the People's Republic of China,Asia,Eastern Asia,City of Victoria,7527500,1104.0,Hong Kong dollar (HKD),"Chinese, English",UTC+08:00,False
Libya,State of Libya,Africa,Northern Africa,Tripoli,7459000,1759540.0,Libyan dinar (LYD),Arabic,UTC+01:00,True
Kyrgyzstan,Kyrgyz Republic,Asia,Central Asia,Bishkek,7281800,199951.0,Kyrgyzstani som (KGS),"Kyrgyz, Russian",UTC+06:00,True
Turkmenistan,Turkmenistan,Asia,Central Asia,Ashgabat,7057841,488100.0,Turkmenistan manat (TMT),"Russian, Turkmen",UTC+05:00,True
Nicaragua,Republic of Nicaragua,Americas,Central America,Managua,6803886,130373.0,Nicaraguan córdoba (NIO),Spanish,UTC-06:00,True
Serbia,Republic of Serbia,Europe,Southeast Europe,Belgrade,6567783,77589.0,Serbian dinar (RSD),Serbian,UTC+01:00,True
Central African Republic,Central African Republic,Africa,Middle Africa,Bangui,6470307,622984.0,Central African CFA franc (XAF),"French, Sango",UTC+01:00,True
Bulgaria,Republic of Bulgaria,Europe,Southeast Europe,Sofia,6437360,110879.0,Bulgarian lev (BGN),Bulgarian,UTC+02:00,True
Republic of the Congo,Republic of the Congo,Africa,Middle Africa,Brazzaville,6142180,342000.0,Central African CFA franc (XAF),"French, Kikongo, Lingala",UTC+01:00,True
Singapore,Republic of Singapore,Asia,South-Eastern Asia,Singapore,6110200,710.0,Singapore dollar (SGD),"Chinese, English, Malay, Tamil",UTC+08:00,True
Paraguay,Republic of Paraguay,Americas,South America,Asunción,6109644,406752.0,Paraguayan guaraní (PYG),"Guaraní, Spanish",UTC-04:00,True
El Salvador,Republic of El Salvador,Americas,Central America,San Salvador,6029976,21041.0,United States dollar (USD),Spanish,UTC-06:00,True
Denmark,Kingdom of Denmark,Europe,Northern Europe,Copenhagen,6011488,43094.0,Danish krone (DKK),Danish,"UTC-04:00, UTC-03:00, UTC-01:00, UTC, UTC+01:00",True
Finland,Republic of Finland,Europe,Northern Europe,Helsinki,5650325,338455.0,euro (EUR),"Finnish, Swedish",UTC+02:00,True
Norway,Kingdom of Norway,Europe,Northern Europe,Oslo,5606944,386224.0,Norwegian krone (NOK),"Norwegian Bokmål, Norwegian Nynorsk, Sami",UTC+01:00,True
Lebanon,Lebanese Republic,Asia,Western Asia,Beirut,5490000,10452.0,Lebanese pound (LBP),"Arabic, French",UTC+02:00,True
Palestine,State of Palestine,Asia,Western Asia,Ramallah,5483450,6220.0,"Egyptian pound (EGP), Israeli new shekel (ILS), Jordanian dinar (JOD)",Arabic,UTC+02:00,False
Ireland,Republic of Ireland,Europe,Northern Europe,Dublin,5458600,70273.0,euro (EUR),"English, Irish",UTC,True
Slovakia,Slovak Republic,Europe,Central Europe,Bratislava,5413813,49037.0,euro (EUR),Slovak,UTC+01:00,True
Oman,Sultanate of Oman,Asia,Western Asia,Muscat,5343630,309500.0,Omani rial (OMR),Arabic,UTC+04:00,True
New Zealand,New Zealand,Oceania,Australia and New Zealand,Wellington,5324700,268838.0,New Zealand dollar (NZD),"English, Māori, New Zealand Sign Language","UTC-11:00, UTC-10:00, UTC+12:00, UTC+12:45, UTC+13:00",True
Costa Rica,Republic of Costa Rica,Americas,Central America,San José,5309625,51100.0,Costa Rican colón (CRC),Spanish,UTC-06:00,True
Liberia,Republic of Liberia,Africa,Western Africa,Monrovia,5248621,111369.0,Liberian dollar (LRD),English,UTC,True
Mauritania,Islamic Republic of Mauritania,Africa,Western Africa,Nouakchott,4927532,1030700.0,Mauritanian ouguiya (MRU),Arabic,UTC,True
Kuwait,State of Kuwait,Asia,Western Asia,Kuwait City,4881254,17818.0,Kuwaiti dinar (KWD),Arabic,UTC+03:00,True
Panama,Republic of Panama,Americas,Central America,Panama City,4064780,75417.0,"Panamanian balboa (PAB), United States dollar (USD)",Spanish,UTC-05:00,True
Georgia,Georgia,Asia,Western Asia,Tbilisi,4000921,69700.0,lari (GEL),Georgian,UTC+04:00,True
Croatia,Republic of Croatia,Europe,Southeast Europe,Zagreb,3866233,56594.0,euro (EUR),Croatian,UTC+01:00,True
Eritrea,State of Eritrea,Africa,Eastern Africa,Asmara,3607000,117600.0,Eritrean nakfa (ERN),"Arabic, English, Tigrinya",UTC+03:00,True
Mongolia,Mongolia,Asia,Eastern Asia,Ulan Bator,3544835,1564110.0,Mongolian tögrög (MNT),Mongolian,"UTC+07:00, UTC+08:00",True
Uruguay,Oriental Republic of Uruguay,Americas,South America,Montevideo,3499451,181034.0,Uruguayan peso (UYU),Spanish,UTC-03:00,True
Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,Southeast Europe,Sarajevo,3422000,51209.0,Bosnia and Herzegovina convertible mark (BAM),"Bosnian, Croatian, Serbian",UTC+01:00,True
Puerto Rico,Commonwealth of Puerto Rico,Americas,Caribbean,San Juan,3203295,8870.0,United States dollar (USD),"English, Spanish",UTC-04:00,False
Qatar,State of Qatar,Asia,Western Asia,Doha,3173024,11586.0,Qatari riyal (QAR),Arabic,UTC+03:00,True
Armenia,Republic of Armenia,Asia,Western Asia,Yerevan,3076200,29743.0,Armenian dram (AMD),Armenian,UTC+04:00,True
Namibia,Republic of Namibia,Africa,Southern Africa,Windhoek,3022401,825615.0,"Namibian dollar (NAD), South African rand (ZAR)","Afrikaans, English, German, Herero, Khoekhoe, Kwangali, Lozi, Ndonga, Tswana",UTC+01:00,True
Lithuania,Republic of Lithuania,Europe,Northern Europe,Vilnius,2894886,65300.0,euro (EUR),Lithuanian,UTC+02:00,True
Jamaica,Jamaica,Americas,Caribbean,Kingston,2825544,10991.0,Jamaican dollar (JMD),"English, Jamaican Patois",UTC-05:00,True
Moldova,Republic of Moldova,Europe,Eastern Europe,Chișinău,2749076,33847.0,Moldovan leu (MDL),Romanian,UTC+02:00,True
Gabon,Gabonese Republic,Africa,Middle Africa,Libreville,2469296,267668.0,Central African CFA franc (XAF),French,UTC+01:00,True
Gambia,Republic of the Gambia,Africa,Western Africa,Banjul,2422712,10689.0,dalasi (GMD),English,UTC+00:00,True
Albania,Republic of Albania,Europe,Southeast Europe,Tirana,2363314,28748.0,Albanian lek (ALL),Albanian,UTC+01:00,True
Botswana,Republic of Botswana,Africa,Southern Africa,Gaborone,2359609,582000.0,Botswana pula (BWP),"English, Tswana",UTC+02:00,True
Slovenia,Republic of Slovenia,Europe,Central Europe,Ljubljana,2130638,20273.0,euro (EUR),Slovene,UTC+01:00,True
Lesotho,Kingdom of Lesotho,Africa,Southern Africa,Maseru,2116427,30355.0,"Lesotho loti (LSL), South African rand (ZAR)","English, Sotho",UTC+02:00,True
Latvia,Republic of Latvia,Europe,Northern Europe,Riga,1829000,64559.0,euro (EUR),Latvian,UTC+02:00,True
North Macedonia,Republic of North Macedonia,Europe,Southeast Europe,Skopje,1822612,25713.0,denar (MKD),Macedonian,UTC+01:00,True
Guinea-Bissau,Republic of Guinea-Bissau,Africa,Western Africa,Bissau,1781308,36125.0,West African CFA franc (XOF),"Portuguese, Upper Guinea Creole",UTC,True
Equatorial Guinea,Republic of Equatorial Guinea,Africa,Middle Africa,Ciudad de la Paz,1668768,28051.0,Central African CFA franc (XAF),"French, Portuguese, Spanish",UTC+01:00,True
Bahrain,Kingdom of Bahrain,Asia,Western Asia,Manama,1594654,765.0,Bahraini dinar (BHD),Arabic,UTC+03:00,True
Kosovo,Republic of Kosovo,Europe,Southeast Europe,Pristina,1585566,10908.0,euro (EUR),"Albanian, Serbian",UTC+01:00,True
Cyprus,Republic of Cyprus,Europe,Southern Europe,Nicosia,1442614,9251.0,euro (EUR),"Greek, Turkish",UTC+02:00,True
Timor-Leste,Democratic Republic of Timor-Leste,Asia,South-Eastern Asia,Dili,1391221,14874.0,United States dollar (USD),"Portuguese, Tetum",UTC+09:00,True
Estonia,Republic of Estonia,Europe,Northern Europe,Tallinn,1369995,45227.0,euro (EUR),Estonian,UTC+02:00,True
Trinidad and Tobago,Republic of Trinidad and Tobago,Americas,Caribbean,Port of Spain,1367764,5130.0,Trinidad and Tobago dollar (TTD),English,UTC-04:00,True
Mauritius,Republic of Mauritius,Africa,Eastern Africa,Port Louis,1243741,2040.0,Mauritian rupee (MUR),"English, French, Mauritian Creole",UTC+04:00,True
Eswatini,Kingdom of Eswatini,Africa,Southern Africa,Mbabane,1235549,17364.0,"Swazi lilangeni (SZL), South African rand (ZAR)","English, Swazi",UTC+02:00,True
Djibouti,Republic of Djibouti,Africa,Eastern Africa,Djibouti,1066809,23200.0,Djiboutian franc (DJF),"Arabic, French",UTC+03:00,True
Comoros,Union of the Comoros,Africa,Eastern Africa,Moroni,919901,1862.0,Comorian franc (KMF),"Arabic, Comorian, French",UTC+03:00,True
Fiji,Republic of Fiji,Oceania,Melanesia,Suva,900869,18272.0,Fijian dollar (FJD),"English, Fiji Hindi, Fijian",UTC+12:00,True
Réunion,Réunion Island,Africa,Eastern Africa,Saint-Denis,896175,2511.0,euro (EUR),French,UTC+04:00,False
Bhutan,Kingdom of Bhutan,Asia,Southern Asia,Thimphu,784043,38394.0,"Bhutanese ngultrum (BTN), Indian rupee (INR)",Dzongkha,UTC+06:00,True
Guyana,Co-operative Republic of Guyana,Americas,South America,Georgetown,772975,214969.0,Guyanese dollar (GYD),English,UTC-04:00,True
Solomon Islands,Solomon Islands,Oceania,Melanesia,Honiara,750325,28896.0,Solomon Islands dollar (SBD),English,UTC+11:00,True
Macau,Macao Special Administrative Region of the People's Republic of China,Asia,Eastern Asia,N/A,685900,30.0,Macanese pataca (MOP),"Chinese, Portuguese",UTC+08:00,False
Luxembourg,Grand Duchy of Luxembourg,Europe,Western Europe,Luxembourg,681973,2586.0,euro (EUR),"French, German, Luxembourgish",UTC+01:00,True
Montenegro,Montenegro,Europe,Southeast Europe,Podgorica,623327,13812.0,euro (EUR),Montenegrin,UTC+01:00,True
Suriname,Republic of Suriname,Americas,South America,Paramaribo,616500,163820.0,Surinamese dollar (SRD),Dutch,UTC-03:00,True
Western Sahara,Sahrawi Arab Democratic Republic,Africa,Northern Africa,El Aaiún,600904,266000.0,"Algerian dinar (DZD), Moroccan dirham (MAD), Mauritanian ouguiya (MRU)","Berber, Hassaniya, Spanish",UTC+00:00,False
Malta,Republic of Malta,Europe,Southern Europe,Valletta,574250,316.0,euro (EUR),"English, Maltese",UTC+01:00,True
Maldives,Republic of the Maldives,Asia,Southern Asia,Malé,515132,300.0,Maldivian rufiyaa (MVR),Maldivian,UTC+05:00,True
Cape Verde,Republic of Cabo Verde,Africa,Western Africa,Praia,491233,4033.0,Cape Verdean escudo (CVE),Portuguese,UTC-01:00,True
Brunei,"Nation of Brunei, Abode of Peace",Asia,South-Eastern Asia,Bandar Seri Begawan,455500,5765.0,"Brunei dollar (BND), Singapore dollar (SGD)",Malay,UTC+08:00,True
Belize,Belize,Americas,Central America,Belmopan,417634,22966.0,Belize dollar (BZD),"Belizean Creole, English, Spanish",UTC-06:00,True
Bahamas,Commonwealth of the Bahamas,Americas,Caribbean,Nassau,398165,13943.0,"Bahamian dollar (BSD), United States dollar (USD)",English,UTC-05:00,True
Iceland,Iceland,Europe,Northern Europe,Reykjavik,391810,103000.0,Icelandic króna (ISK),Icelandic,UTC,True
Guadeloupe,Guadeloupe,Americas,Caribbean,Basse-Terre,378561,1628.0,euro (EUR),French,UTC-04:00,False
Martinique,Martinique,Americas,Caribbean,Fort-de-France,349925,1128.0,euro (EUR),French,UTC-04:00,False
Vanuatu,Republic of Vanuatu,Oceania,Melanesia,Port Vila,321409,12189.0,Vanuatu vatu (VUV),"Bislama, English, French",UTC+11:00,True
Mayotte,Department of Mayotte,Africa,Eastern Africa,Mamoudzou,320901,374.0,euro (EUR),French,UTC+03:00,False
French Guiana,Guiana,Americas,South America,Cayenne,292354,83534.0,euro (EUR),French,UTC-03:00,False
